animal
abyssinian-ground-hornbill
addax
african-clawed-frog
african-pancake-tortoise
african-plated-lizard
aldabra-tortoise
allens-swamp-monkey
alligator-lizard
alligator-snapping-turtle
alpaca
american-alligator
american-avocet
american-bison
american-flamingo
american-oystercatcher
american-robin
american-wigeon
american-yellow-warbler
andean-bear
aquatic-caecilian
arapaima
asian-elephant
asian-small-clawed-otter
asian-water-dragon
australian-snake-necked-turtle
bald-eagle
baltimore-oriole
band-tailed-pigeon
banded-leporinus
banded-mongoose
banded-rock-rattlesnake
barred-owl
barred-parakeet
barred-tiger-salamander
beaver
bennets-wallaby
binturong
black-howler-monkey
black-pacu
black-and-white-ruffled-lemur
black-and-white-warbler
black-bellied-whistling-duck
black-capped-chickadee
black-crowned-night-heron
black-footed-ferret
black-necked-stilt
black-tailed-prairie-dog
black-throated-blue-warbler
black-throated-green-warbler
blue-crane
blue-grosbeak
blue-ground-dove
blue-billed-curassow
blue-winged-teal
boa-constrictor
bobcat
brazilian-rainbow-boa
brown-pelican
brush-tailed-bettong
bufflehead
burmese-rock-python
burrowing-owl
caiman-lizard
california-sea-lion
canvasback
caracal-lynx
carolina-wren
cedar-waxwing
chameloen-forest-dragon
channel-catfish
cheetah
chicken
chilean-rose-tarantula
chinese-alligator
chinese-crocodile-lizard
chinese-three-striped-box-turtle
clapper-rail
clouded-leopard
collard-brown-lemur
common-peafowl
common-raven
common-yellowthroat
corals-and-sea-anemones-anthozoa
corn-snake
coronated-tree-frog
cotton-top-tamarin
cow
crocodile-monitor
cuban-crocodile
dama-gazelle
damaraland-mole-rat
degu
dunlin
dwarf-mongoose
eastern-box-turtle
eastern-diamondback-rattlesnake
eastern-indigo-snake
eastern-newt
eastern-red-backed-salamander
eastern-screech-owl
elds-deer
electric-eel
emerald-tree-monitor
emperor-newt
emperor-tamarin
emu
eyelash-palm-pitviper
false-water-cobra
fennec-fox
fiji-banded-iguana
fishing-cat
flagtail-characin
fly-river-turtle
fowlers-toad
freshwater-stingray
gaboon-viper
geoffreys-marmoset
gharial
giant-anteater
giant-leaf-tailed-gecko
giant-panda
gila-monster
goat
goeldis-monkey
